segment,variant,speed_lower_m_s,speed_upper_m_s,speed_mid_m_s,n_frames,translation_median_mm,translation_p95_mm
10,One-Euro Anchor,0.4,0.5,0.45,34,104.62155944263435,157.12566275568165
10,One-Euro Anchor,0.5,0.6,0.55,26,130.49375870153364,154.7422258089016
10,EgoAnchor,0.1,0.2,0.15000000000000002,17,54.772007580641734,84.60348280403012
10,EgoAnchor,0.2,0.3,0.25,33,47.57941812028636,96.14126080802696
10,EgoAnchor,0.3,0.4,0.35,28,60.034590414147196,112.79692832539767
10,EgoAnchor,0.4,0.5,0.45,34,94.84544404768346,118.35870811068993
10,EgoAnchor,0.5,0.6,0.55,26,112.41946576453189,117.56125210485722
11,Arrival-Hold,0.2,0.3,0.25,25,42.35850851936656,54.348795496171824
11,Arrival-Hold,0.3,0.4,0.35,33,47.80759763721362,69.93332963807516
11,Arrival-Hold,0.4,0.5,0.45,31,64.45722066215198,82.85058445532556
11,Capture-Hold,0.2,0.3,0.25,25,61.13148147323852,79.25013867362135
11,Capture-Hold,0.3,0.4,0.35,33,66.2015616672064,85.61330378308445
11,Capture-Hold,0.4,0.5,0.45,31,85.77543471511643,103.69140140517919
11,One-Euro Anchor,0.2,0.3,0.25,25,99.48413731755073,125.13531445343946
11,One-Euro Anchor,0.3,0.4,0.35,33,98.4680802665667,123.92697894377123
11,One-Euro Anchor,0.4,0.5,0.45,31,121.67035783499571,145.24253149019648
11,EgoAnchor,0.2,0.3,0.25,25,76.21604365702056,100.03995550843356
11,EgoAnchor,0.3,0.4,0.35,33,84.25039141825697,108.20760204176496
11,EgoAnchor,0.4,0.5,0.45,31,108.08902354312167,113.29436196635245
12,Arrival-Hold,0.1,0.2,0.15000000000000002,10,25.19484033170703,35.86998360215143
12,Arrival-Hold,0.2,0.3,0.25,29,32.73832406955345,48.958185590855045
12,Arrival-Hold,0.3,0.4,0.35,35,52.20927997239024,79.0996846283044
12,Arrival-Hold,0.4,0.5,0.45,19,63.33714600230147,80.07673567968821
12,Arrival-Hold,0.5,0.6,0.55,22,65.3538503102672,82.15091399740922
12,Capture-Hold,0.1,0.2,0.15000000000000002,10,40.745867966631394,49.716566647211536
12,Capture-Hold,0.2,0.3,0.25,29,46.183719822385726,68.47416719818612
12,Capture-Hold,0.3,0.4,0.35,35,73.52855670206759,107.53464278551185
12,Capture-Hold,0.4,0.5,0.45,19,91.5232163646449,110.33025311404472
12,Capture-Hold,0.5,0.6,0.55,22,92.82025460461611,106.37047428276117
12,One-Euro Anchor,0.1,0.2,0.15000000000000002,10,78.29664617018065,86.01040241971411
12,One-Euro Anchor,0.2,0.3,0.25,29,74.96207946793353,113.93794008500579
12,One-Euro Anchor,0.3,0.4,0.35,35,107.32527629619688,154.16452426089722
12,One-Euro Anchor,0.4,0.5,0.45,19,137.13373587695935,155.71358995843056
12,One-Euro Anchor,0.5,0.6,0.55,22,129.3634991412846,149.1757476761987
12,EgoAnchor,0.1,0.2,0.15000000000000002,10,56.06459921898145,64.8922160662638
12,EgoAnchor,0.2,0.3,0.25,29,55.24050044150277,96.01446031910498
12,EgoAnchor,0.3,0.4,0.35,35,99.76180241469919,115.06798437778333
12,EgoAnchor,0.4,0.5,0.45,19,116.7518246683457,122.40312152460015
12,EgoAnchor,0.5,0.6,0.55,22,120.01261555925356,124.64644549306249
13,Arrival-Hold,0.1,0.2,0.15000000000000002,28,19.236902884942896,30.21820238231225
13,Arrival-Hold,0.2,0.3,0.25,32,31.846140629064564,63.05022565074509
13,Arrival-Hold,0.3,0.4,0.35,29,51.57110104792903,85.6997678576826
13,Arrival-Hold,0.4,0.5,0.45,24,57.25735189093078,86.94658226438273
13,Capture-Hold,0.1,0.2,0.15000000000000002,28,29.38905651455144,43.14289052373149
13,Capture-Hold,0.2,0.3,0.25,32,41.689418742095704,76.92866288647639
13,Capture-Hold,0.3,0.4,0.35,29,64.39780475685485,95.40246957867342
13,Capture-Hold,0.4,0.5,0.45,24,65.46085678371642,99.50655663693603
13,One-Euro Anchor,0.1,0.2,0.15000000000000002,28,61.78863171885425,80.64316236790003
13,One-Euro Anchor,0.2,0.3,0.25,32,81.01922011959239,125.08948154549337
13,One-Euro Anchor,0.3,0.4,0.35,29,108.0103044284233,130.99420304563543
13,One-Euro Anchor,0.4,0.5,0.45,24,97.29191059143406,141.803225319563
13,EgoAnchor,0.1,0.2,0.15000000000000002,28,43.68035455997173,58.52248815219697
13,EgoAnchor,0.2,0.3,0.25,32,63.05053212646313,88.14379598706354
13,EgoAnchor,0.3,0.4,0.35,29,92.97758790707388,106.23741355557662
13,EgoAnchor,0.4,0.5,0.45,24,91.66556706009118,108.94402171022723
14,Arrival-Hold,0.2,0.3,0.25,28,39.977104649720914,64.97658506075012
14,Arrival-Hold,0.3,0.4,0.35,29,67.09383300496773,91.76345108898248
14,Arrival-Hold,0.4,0.5,0.45,12,72.50261946861968,93.14350497535582
14,Arrival-Hold,0.5,0.6,0.55,23,65.0737229374654,79.73023223824526
14,Capture-Hold,0.2,0.3,0.25,28,67.3647278550362,91.58109855441224
14,Capture-Hold,0.3,0.4,0.35,29,95.57022907889998,124.34864882557076
14,Capture-Hold,0.4,0.5,0.45,12,93.28568970235888,112.2295677996651
14,Capture-Hold,0.5,0.6,0.55,23,84.21963082469671,104.00486887916833
14,One-Euro Anchor,0.2,0.3,0.25,28,117.21235222690584,145.6899923105305
14,One-Euro Anchor,0.3,0.4,0.35,29,146.93829763567834,174.39591245976146
14,One-Euro Anchor,0.4,0.5,0.45,12,138.71717535856848,156.36397593382574
14,One-Euro Anchor,0.5,0.6,0.55,23,105.7307776974391,132.43151557410062
14,EgoAnchor,0.2,0.3,0.25,28,90.2136577466191,111.83318680248881
14,EgoAnchor,0.3,0.4,0.35,29,129.97598596658537,137.0541245457889
14,EgoAnchor,0.4,0.5,0.45,12,126.10803209433219,128.15119469212505
14,EgoAnchor,0.5,0.6,0.55,23,102.44128844164281,123.07307875232284
15,Arrival-Hold,0.1,0.2,0.15000000000000002,19,25.998964998055246,47.001595265309376
15,Arrival-Hold,0.2,0.3,0.25,32,34.17505814707493,60.90686508191469
15,Arrival-Hold,0.3,0.4,0.35,23,47.14436151292295,70.50471891430887
15,Arrival-Hold,0.4,0.5,0.45,47,53.783992140846635,72.17955832413814
15,Arrival-Hold,0.5,0.6,0.55,12,64.29427406556233,77.74229443673673
15,Capture-Hold,0.1,0.2,0.15000000000000002,19,43.42467815414766,63.57278759364141
15,Capture-Hold,0.2,0.3,0.25,32,49.589657283765604,81.81584398310291
15,Capture-Hold,0.3,0.4,0.35,23,72.84738978276826,91.90299337157683
15,Capture-Hold,0.4,0.5,0.45,47,78.1821015594756,101.583178505945
15,Capture-Hold,0.5,0.6,0.55,12,92.66870757465537,109.19590627401602
15,One-Euro Anchor,0.1,0.2,0.15000000000000002,19,83.18981019900257,102.34318680962718
15,One-Euro Anchor,0.2,0.3,0.25,32,87.05272709813664,127.12815865955312
15,One-Euro Anchor,0.3,0.4,0.35,23,112.08135607606972,127.4355777535826
15,One-Euro Anchor,0.4,0.5,0.45,47,112.08967750727014,145.79606898253294
15,One-Euro Anchor,0.5,0.6,0.55,12,134.83252435685222,149.51720186690673
15,EgoAnchor,0.1,0.2,0.15000000000000002,19,65.01184831442724,72.93661210661296
15,EgoAnchor,0.2,0.3,0.25,32,73.84687307867262,101.86421583926831
15,EgoAnchor,0.3,0.4,0.35,23,95.21919990559078,102.86235347514791
