session_id,experiment_id,scenario_id,trial_id,event_id,condition_id,variant_id,variant_label,candidate_count,render_tick_count,candidate_arrival_p50_ms,candidate_arrival_p95_ms,candidate_processing_p50_ms,candidate_processing_p95_ms,observation_age_p50_ms,observation_age_p95_ms,smoothing_delay_p50_ms,smoothing_delay_p95_ms,visual_perception_hz,render_hz
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_002,exp1_system_characterization/start_stop_6dof,EgoAnchor,EgoAnchor,189,1313,166.79370000201743,207.71836000058101,71.97060000151396,83.516360001266,216.58390000084182,277.42381999560166,284.74386036396027,295.3590378165245,9.933209206963665,68.99502073665428
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_002,exp1_system_characterization/start_stop_6dof,One-Euro Anchor,One-Euro Anchor,189,1313,166.93320000194944,207.8730799970799,71.97060000151396,83.516360001266,216.5945999950054,277.4336399976164,216.5945999950054,277.4336399976164,9.933209206963665,68.99502073665428
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_003,exp1_system_characterization/start_stop_6dof,Arrival-Hold,Arrival-Hold,139,948,166.72079999989364,195.51984000063385,72.12040000036359,84.3205500010401,42.48510000252281,96.31722500198521,42.48510000252281,96.31722500198521,9.936113669140056,67.65247974163468
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_003,exp1_system_characterization/start_stop_6dof,Capture-Hold,Capture-Hold,139,948,166.7572000005748,195.55218000532477,72.12040000036359,84.3205500010401,216.5325500027393,277.507679997143,216.5325500027393,277.507679997143,9.936113669140056,67.65247974163468
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_003,exp1_system_characterization/start_stop_6dof,EgoAnchor,EgoAnchor,139,948,166.6373999978532,195.42982000275515,72.12040000036359,84.3205500010401,216.52214999994612,277.4987199991301,276.313841342926,312.8739535808563,9.936113669140056,67.65247974163468
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_003,exp1_system_characterization/start_stop_6dof,One-Euro Anchor,One-Euro Anchor,139,948,166.78289999981644,195.59305000148015,72.12040000036359,84.3205500010401,216.5335000026971,277.5085749992286,216.5335000026971,277.5085749992286,9.936113669140056,67.65247974163468
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_004,exp1_system_characterization/start_stop_6dof,Arrival-Hold,Arrival-Hold,185,1262,166.8680999937351,208.49190000299131,72.00099999830127,86.79671999886627,42.75380000035511,97.27060000222991,42.75380000035511,97.27060000222991,9.913348391493367,67.74024770486875
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_004,exp1_system_characterization/start_stop_6dof,Capture-Hold,Capture-Hold,185,1262,166.9058999978006,208.52798000269104,72.00099999830127,86.79671999886627,216.88555000218912,277.75316999468487,216.88555000218912,277.75316999468487,9.913348391493367,67.74024770486875
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_004,exp1_system_characterization/start_stop_6dof,EgoAnchor,EgoAnchor,185,1262,166.77959999651648,208.40669999888632,72.00099999830127,86.79671999886627,216.8758500010881,277.7436949949333,283.29475224018097,300.2362474799156,9.913348391493367,67.74024770486875
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_004,exp1_system_characterization/start_stop_6dof,One-Euro Anchor,One-Euro Anchor,185,1262,166.93819999636617,208.55912000261014,72.00099999830127,86.79671999886627,216.88635000100476,277.7538699996512,216.88635000100476,277.7538699996512,9.913348391493367,67.74024770486875
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_005,exp1_system_characterization/start_stop_6dof,Arrival-Hold,Arrival-Hold,131,847,167.43820000556298,215.5918999997084,72.93910000473261,82.27605000138283,42.55109999940032,96.08477999863679,42.55109999940032,96.08477999863679,9.883683039834546,63.72462525531658
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_005,exp1_system_characterization/start_stop_6dof,Capture-Hold,Capture-Hold,131,847,167.47030000260565,215.66134999739006,72.93910000473261,82.27605000138283,220.4289000001154,278.7131599972781,220.4289000001154,278.7131599972781,9.883683039834546,63.72462525531658
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_005,exp1_system_characterization/start_stop_6dof,EgoAnchor,EgoAnchor,131,847,167.35520000656834,215.467849997367,72.93910000473261,82.27605000138283,220.4208999974071,278.70500999924843,284.728080034256,309.08992886543274,9.883683039834546,63.72462525531658
